type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-23 23:23:18 +0000,2023-09-23 23:31:21 +0000,count,44.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-23 23:35:23 +0000,2023-09-23 23:45:18 +0000,count,44.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-23 23:45:26 +0000,2023-09-23 23:55:26 +0000,count,518.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-23 23:55:26 +0000,2023-09-24 00:05:26 +0000,count,562.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 00:05:26 +0000,2023-09-24 00:15:11 +0000,count,570.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 00:50:25 +0000,2023-09-24 00:58:53 +0000,count,645.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 01:03:06 +0000,2023-09-24 01:12:12 +0000,count,277.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 01:33:24 +0000,2023-09-24 01:43:11 +0000,count,332.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 01:43:26 +0000,2023-09-24 01:47:34 +0000,count,297.0
HKQuantityTypeIdentifierStepCount,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c21630>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 02:21:29 +0000,2023-09-24 02:22:51 +0000,count,21.0
